Reference;Value;Footprint;Qty;Notes;;;;;;;
CAPACITORS;;;;;DIP SOCKETS;;;;;;
"C1;C3;C8;C10;C11;C12;C13;C14;C15;C16;
C17;C18;C19;C20;C21;C22;C23;C24;C26;C27";100n;Ceramic capacitor ;20;;DIP14;2;;;;;
"C2;C4;C30";47n;Ceramic capacitor ;3;;DIP16;3;;;;;
"C5;C9";2.2n;Ceramic capacitor ;2;;DIP18;2;;;;;
C6;10n;Ceramic capacitor ;1;;DIP28;1;;;;;
C7;2.2u;Electrolytic capacitor;1;;DIP40;4;;;;;
C25;100u 25v;Electrolytic capacitor;1;;DIP8;3;;;;;
C28;30p;Trimmer;1;;;;;;;;
"C29;C31";220u;Electrolytic capacitor;2;;;;;;;;
C32;10u;Electrolytic capacitor;1;;;;;;;;
DIODES;;;;;;;;;;;
"D1;D2;D3;D4;D6;D7;D8;D9;D10;D11;D12";1N4148;DO-35;11;;;;;;;;
D5;BAT85;DO-35;1;;;;;;;;
INTEGRATED CIRCUITS;;;;;;;;;;;
IC2;74F04;DIP14;1;;;;;;;;
IC8;74LS00;DIP14;1;;;;;;;;
"IC3;IC4";74LS257;DIP16;2;;;;;;;;
IC9;74LS365;DIP16;1;;;;;;;;
"IC5;IC6";MEMORY 4464;DIP18;2;;;;;;;;
IC7;28C256;DIP28;1;;;;;;;;
IC1;HCS10017;DIP40;1;;;;;;;;
IC10;CPU 6522;DIP40;1;;;;;;;;
IC11;VIA 6502;DIP40;1;;;;;;;;
IC15;AY-3-8910;DIP40;1;;;;;;;;
IC12;ICM7555xP;DIP8;1;;;;;;;;
IC14;LM358;DIP8;1;;;;;;;;
IC16;LM386;DIP8;1;;;;;;;;
IC17;AD724;SOIC-16W;1;;;;;;;;
VOLTAGE REGULATOR;;;;;;;;;;;
IC13/IC19;L7805/L7905;TO-220-3;1;;;;;;;;
CONNECTORS;;;;;;;;;;;
"J1;J11";Conn_01x03;PinHeader_1x03;2;(35 pins total);;;;;;;
J2;DIN-7;DIN7 Socket;1;Tape;;;;;;;
SK1;DIN-8;DIN8 Socket;1;Video;;;;;;;
J3;Conn_01x14;PinHeader_1x14;1;Keyboard;;;;;;;
J4;Barrel_Jack;Barrel Jack;1;Power;;;;;;;
J5;Conn_Coaxial;RCA Socket;1;Composite;;;;;;;
J6;Conn_01x02;PinHeader_1x02;1;Speaker;;;;;;;
J7;Joystick;PinHeader_1x13;1;Keyboard 2;;;;;;;
J9;Conn_01x12;PinHeader_1x12;1;Unpopulated;;;;;;;
J10;AudioJack4;TRRS Socket PJ-322;1;Audio/Video;;;;;;;
SV1;Printer;IDC-Header_2x10;1;;;;;;;;
SV2;Expansion;IDC-Header_2x17;1;;;;;;;;
RELAY;;;;;;;;;;;
K1;SRD-05VDC-SL-C;Relay;1;;;;;;;;
CRYSTALS;;;;;;;;;;;
Q1;12MHz;Crystal_HC49-U;1;;;;;;;;
Q2;4.433619 MHz;Crystal_HC49-U;1;;;;;;;;
RESISTORS;;;;;;;;;;;
"R1;R2;R9;R12;R20;R22;R48;R49";1k;Resistor;8;;;;;;;;
R3;220r;Resistor;1;;;;;;;;
R4;560r;Resistor;1;;;;;;;;
"R5;R8;R28;R29;R30;R33;R34;R35";2k2;Resistor;8;;;;;;;;
"R6;R7";47k;Resistor;2;;;;;;;;
"R10;R11;R46";22k;Resistor;3;;;;;;;;
"R13;R14;R16;R17;R19";10k;Resistor;5;;;;;;;;
R15;12k;Resistor;1;;;;;;;;
"R18;R36";100k;Resistor;2;;;;;;;;
R21;470r;Resistor;1;;;;;;;;
"R23;R39;R40;R41";4k7;Resistor;4;;;;;;;;
"R24;R25;R26;R27";220r;Resistor;4;;;;;;;;
"R31;R32";1M;Resistor;2;;;;;;;;
"R37;R38;R42";68r;Resistor;3;;;;;;;;
"R43;R44;R45";1k8;Resistor;3;;;;;;;;
R47;10r;Resistor;1;;;;;;;;
R58;75r;Resistor;1;;;;;;;;
BUTTON;;;;;;;;;;;
SW1;SW_Push;Tact Switch;1;;;;;;;;
TRANSISTORS;;;;;;;;;;;
"T1;T3;T5;T8";2N3904;Transistor;4;;;;;;;;
T2;BS170;Transistor;1;;;;;;;;
"T4;T6;T7";BC549B;Transistor;3;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;28
